選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
今浪　隆博,ヤクルト,0.317,68,139,123,39,2,13,1,12,0,14,3,1,0.375,0.431,0.806,6.28,6.02,2015
相川　亮二,巨人,0.313,40,114,99,31,4,17,1,12,0,16,2,1,0.384,0.505,0.889,7.30,7.16,2015
ムリーロ,楽天,0.313,9,37,32,10,0,1,2,5,0,3,0,1,0.405,0.344,0.749,6.02,5.76,2015
牧田　明久,楽天,0.311,82,172,151,47,1,14,4,14,3,14,2,7,0.376,0.377,0.754,4.71,4.66,2015
ナニータ,中日,0.308,52,169,156,48,0,15,1,9,2,24,1,4,0.351,0.385,0.736,4.92,4.64,2015
立岡　宗一郎,巨人,0.304,91,367,339,103,0,14,16,18,4,61,3,2,0.343,0.348,0.691,4.66,4.57,2015
西野　真弘,オリックス,0.304,57,213,191,58,3,22,9,18,2,25,2,0,0.37,0.403,0.773,6.12,5.89,2015
銀次,楽天,0.301,82,354,316,95,1,36,8,30,1,19,3,5,0.359,0.348,0.707,4.84,4.78,2015
中村　晃,ソフトバンク,0.3,135,590,506,152,1,39,7,66,6,47,9,7,0.386,0.35,0.735,5.37,5.22,2015
細谷　圭,ロッテ,0.3,16,14,10,3,0,2,1,3,0,1,0,0,0.429,0.3,0.729,7.24,8.20,2015
岩本　貴裕,広島,0.3,7,10,10,3,0,0,0,0,0,1,0,0,0.3,0.4,0.7,4.59,4.17,2015
和田　一浩,中日,0.298,79,234,218,65,5,26,1,14,2,40,0,9,0.346,0.404,0.75,4.69,4.53,2015
荒波　翔,DeNA,0.298,70,207,188,56,4,14,4,16,1,26,1,2,0.354,0.463,0.817,5.93,5.68,2015
小窪　哲也,広島,0.296,69,88,71,21,1,15,1,15,0,18,2,2,0.419,0.366,0.785,6.07,5.93,2015
藤井　淳志,中日,0.295,118,315,275,81,6,45,3,23,2,69,11,4,0.349,0.415,0.763,5.24,5.21,2015
小谷野　栄一,オリックス,0.295,56,206,183,54,4,22,0,13,3,22,5,7,0.348,0.41,0.758,4.64,4.56,2015
杉谷　拳士,日本ハム,0.295,84,192,166,49,1,12,8,9,7,28,9,1,0.355,0.367,0.723,4.44,4.37,2015
西浦　直亨,ヤクルト,0.295,26,48,44,13,1,5,1,3,0,12,1,0,0.34,0.477,0.818,6.24,5.90,2015
脇谷　亮太,西武,0.294,118,272,235,69,3,22,4,27,1,47,8,3,0.367,0.396,0.763,5.37,5.19,2015
小笠原　道大,中日,0.294,53,59,51,15,0,8,0,7,0,10,0,1,0.373,0.353,0.726,5.14,5.07,2015
鈴木　尚広,巨人,0.294,65,22,17,5,1,4,10,2,1,4,2,0,0.4,0.529,0.929,9.55,9.23,2015
角中　勝也,ロッテ,0.293,111,484,427,125,6,52,8,47,1,52,7,12,0.363,0.405,0.768,5.17,5.01,2015
ルナ,中日,0.292,134,564,496,145,8,60,11,57,5,77,0,13,0.367,0.397,0.764,5.52,5.43,2015
ロペス,DeNA,0.291,140,565,516,150,25,73,1,44,2,82,0,14,0.347,0.496,0.843,5.96,5.83,2015
伊志嶺　翔大,ロッテ,0.291,34,109,86,25,0,12,5,10,0,10,11,0,0.357,0.326,0.683,4.74,4.77,2015
宮崎　敏郎,DeNA,0.289,58,163,152,44,1,10,0,6,4,21,0,5,0.331,0.362,0.693,4.09,3.96,2015
松田　宣浩,ソフトバンク,0.287,143,603,533,153,35,94,8,60,2,135,0,17,0.357,0.533,0.889,6.14,6.23,2015
森　友哉,西武,0.287,138,531,474,136,17,68,0,44,9,143,0,5,0.357,0.468,0.825,6.01,5.86,2015
今江　敏晃,ロッテ,0.287,98,400,373,107,1,38,2,16,9,35,0,17,0.33,0.365,0.695,3.81,3.66,2015
高濱　卓也,ロッテ,0.286,33,45,42,12,0,4,0,1,0,11,2,0,0.302,0.333,0.636,3.64,3.43,2015
淺間　大基,日本ハム,0.285,46,140,130,37,0,10,4,5,0,29,3,2,0.307,0.377,0.683,3.94,3.90,2015
田中　賢介,日本ハム,0.284,134,596,532,151,4,66,9,57,1,58,5,9,0.354,0.352,0.705,4.71,4.58,2015
