選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
大崎　雄太朗,西武,0.242,28,67,62,15,1,4,0,2,2,12,1,0,0.288,0.387,0.675,4.02,3.84,2010
平石　洋介,楽天,0.242,28,38,33,8,0,0,0,4,1,5,0,0,0.342,0.333,0.675,4.57,4.30,2010
ブラウン,西武,0.241,118,479,424,102,21,76,2,49,2,101,0,11,0.319,0.436,0.756,4.59,4.71,2010
金本　知憲,阪神,0.241,144,396,353,85,16,45,1,39,3,90,0,3,0.321,0.411,0.731,4.74,4.82,2010
山崎　武司,楽天,0.239,141,598,540,129,28,93,1,45,7,147,0,10,0.303,0.446,0.749,4.61,4.76,2010
谷　佳知,巨人,0.239,84,195,176,42,2,10,2,13,1,32,4,4,0.293,0.307,0.6,2.72,2.77,2010
鶴岡　慎也,日本ハム,0.236,105,284,254,60,3,26,0,4,1,32,22,6,0.248,0.319,0.567,2.24,2.29,2010
大引　啓次,オリックス,0.236,85,260,216,51,2,23,0,25,1,52,15,4,0.314,0.333,0.648,3.49,3.58,2010
松中　信彦,ソフトバンク,0.235,79,267,238,56,11,35,3,24,3,44,0,4,0.311,0.403,0.714,4.45,4.62,2010
藤井　淳志,中日,0.235,63,184,166,39,1,8,3,7,1,38,9,1,0.269,0.325,0.594,2.89,2.90,2010
喜田　剛,オリックス,0.235,10,17,17,4,0,2,0,0,0,5,0,0,0.235,0.353,0.588,2.80,2.55,2010
中村　剛也,西武,0.234,85,354,304,71,25,57,1,44,3,111,0,7,0.333,0.539,0.873,6.04,6.17,2010
坪井　智哉,日本ハム,0.234,36,86,77,18,0,9,1,4,3,19,2,0,0.298,0.299,0.596,3.32,3.27,2010
中田　翔,日本ハム,0.233,65,230,210,49,9,22,0,15,3,61,0,8,0.291,0.395,0.687,3.52,3.71,2010
工藤　隆人,巨人,0.231,40,30,26,6,0,2,0,0,4,11,0,0,0.333,0.231,0.564,3.20,3.33,2010
福川　将和,ヤクルト,0.231,15,17,13,3,0,2,0,2,2,6,0,0,0.412,0.231,0.643,4.97,5.16,2010
大野　奨太,日本ハム,0.23,87,216,183,42,4,16,1,19,1,36,13,5,0.305,0.339,0.644,3.26,3.26,2010
藤本　敦士,ヤクルト,0.23,65,209,187,43,2,18,1,11,2,27,6,2,0.276,0.321,0.597,2.99,3.12,2010
森本　学,ソフトバンク,0.229,71,119,105,24,1,12,2,9,1,19,3,0,0.293,0.276,0.569,2.79,2.96,2010
一輝,オリックス,0.229,16,53,48,11,0,1,1,3,0,6,2,2,0.275,0.313,0.587,2.47,2.46,2010
鶴岡　一成,巨人,0.229,32,43,35,8,0,0,0,3,2,8,3,2,0.325,0.257,0.582,2.37,2.30,2010
今岡　誠,ロッテ,0.227,26,45,44,10,0,6,0,1,0,3,0,4,0.244,0.273,0.517,0.92,0.87,2010
衣川　篤史,ヤクルト,0.227,13,24,22,5,1,5,0,2,0,3,0,2,0.292,0.545,0.837,4.08,3.99,2010
李　ボム浩,ソフトバンク,0.226,48,139,124,28,4,8,1,11,1,33,3,2,0.294,0.355,0.649,3.51,3.58,2010
原　拓也,西武,0.225,103,209,169,38,2,17,0,22,5,37,12,2,0.33,0.314,0.644,3.67,3.73,2010
中村　真人,楽天,0.225,26,41,40,9,0,2,0,1,0,2,0,3,0.244,0.275,0.519,0.82,0.80,2010
藤井　彰人,楽天,0.222,8,19,18,4,0,2,0,1,0,4,0,0,0.263,0.278,0.541,2.48,2.45,2010
矢野　燿大,阪神,0.222,8,9,9,2,0,1,0,0,0,5,0,0,0.222,0.222,0.444,1.18,1.27,2010
前田　智徳,広島,0.221,68,86,77,17,2,19,0,6,1,19,0,2,0.279,0.338,0.617,2.99,3.28,2010
ヒューバー,広島,0.22,80,209,177,39,7,17,0,25,7,42,0,6,0.34,0.379,0.718,4.33,4.41,2010
英智,中日,0.22,68,147,127,28,1,9,8,6,3,20,10,3,0.27,0.283,0.554,2.60,2.68,2010
